msgId,en_US,ko_KR,pl_PL
about_this_app,About this app,앱 정보,Informacje o aplikacji
are_you_sure_you_want_to_clear_history,Are you sure you want to clear history?,정말 모든 기록을 삭제하시겠습니까?,Czy na pewno chcesz usunąć wszystkie przedmioty?
are_you_sure_you_want_to_exit,Are you sure you want to exit?,종료하시겠습니까?,Are you sure you want to exit?
averate_abbr,AVG,평균,AVG
cancel,Cancel,취소,Anuluj
close,Close,닫기,zamknij
copy,Copy,복사,Kopiuj
dark_mode,Dark Mode,다크 모드,tryb ciemny
error,Error,오류,Błąd
failed_to_load,Failed to load.,불러오기에 실패했습니다.,Failed to load.
flashlight,Flashlight,손전등,Latarka
google_url,www.google.com,www.google.co.kr,www.google.pl
information,Information,정보,Informacje
install_date,Install Date,설치일자,Install Date
keep_the_device_awake,Keep the device awake,기기를 켜진 상태로 유지,Keep the device awake
keep_the_screen_on,Keep the screen on,화면을 켜진 상태로 유지,Keep the screen on
maximum_abbr,MAX,최대,MAX
minimum_abbr,MIN,최소,MIN
more_apps,More apps,다른 앱 보기,Więcej aplikacji
off,Off,끔,Off
ok,Ok,확인,Ok
on,On,켬,On
open,Open,열기,Otwarte
open_settings,Open Settings,설정 열기,Otwórz ustawienia
open_website_automatically,Open website automatically,웹 사이트 자동으로 열기,Open website automatically
pause,Pause,일시정지,Pauza
permission_denied,Permission denied,권한 없음,Brak uprawnień
please_allow_permission_in_settings,Necessary permissions are denied. Please allow in Settings.,권한이 없어 해당 기능을 사용할 수 없습니다. 앱 설정에서 권한을 허용해주세요.,Necessary permissions are denied. Please allow in Settings.
purchase_history,Purchase History,구매내역,Historia zakupów
rate_review,Rate 5 stars,별점주기,Rate 5 stars
remove,Remove,삭제,Usuń
resume,Resume,재시작,Resume
reset,Reset,초기화,Resetuj
scan_history,Scan History,스캔 내역,Scan Historia
scan_result,Scan Result,스캔 결과,Scan Rezultat
screenshot,Screenshot,화면캡쳐,Zrzut ekranu
screenshot_saved,Screenshot saved,화면캡쳐 성공,Zrzut ekranu saved
search,Search,검색,szukanie
settings,Settings,설정,Ustawienia
share,Share,공유,Dzielić
share_app,Share App,앱 공유하기,Share App
show_example_noise_level,Show the example noise level,소음수준 정보 표시,Show the example noise level
statistics,Statistics,통계,Statystyka
updated_date,Updated date,업데이트 일자,Updated date
vibrate,Vibrate,진동,Vibrate
view code,View code,코드 보기,Zobacz kod
grant_permission,Grant Permission,권한 허용하기,Grant Permission
loading,Loading...,준비중입니다...,Ładuję...
no_camera_available,No Camera Available,카메라를 찾을 수 없습니다,Brak dostępnej kamery
